drug_id,target_nm
DB00398,Mast/stem cell growth factor receptor Kit
DB00398,Vascular endothelial growth factor receptor 2
DB00398,Platelet-derived growth factor receptor beta
DB00398,Vascular endothelial growth factor receptor 1
DB00398,Serine/threonine-protein kinase B-raf
DB00398,Fibroblast growth factor receptor 1
DB00398,Proto-oncogene tyrosine-protein kinase receptor Ret
DB00439,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00444,DNA topoisomerase 2-alpha
DB00469,Prostaglandin G/H synthase 1
DB00469,Prostaglandin G/H synthase 2
DB00480,Tumor necrosis factor ligand superfamily member 11
